Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Duplicate),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (1. Old Solution Notes),Custom field (Acceptance Criteria),Custom field (Additional Information),Custom field (Additional Information 2),Custom field (Additional Information 3),Custom field (Assumptions),Custom field (Assumptions),Custom field (Assumptions),Custom field (Blocked 'Other'),Custom field (Blocked Date),Custom field (Blocked Reason),Custom field (Blockers),Custom field (Bug Source),Custom field (Business Capability),Custom field (Business Owner),Custom field (Business Value),Custom field (Calor Approved By),Custom field (Category),Custom field (Complexity),Custom field (Development),Custom field (Discovered in build version:),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (External Idenitifier),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (FRD Ref),Custom field (Fixed in Build Version),Custom field (Flagged),Custom field (Flagged),Custom field (Issue color),Custom field (MP Comments),Custom field (MoSCoW),Custom field (OOTB?),Custom field (Original Scope?),Custom field (Pre-Sales Notes),Custom field (Process),Custom field (Product),Custom field (Project Manager Actual),Custom field (Project Manager Estimate),Custom field (QA Actual),Custom field (QA Estimate),Custom field (Rank),Custom field (Reason(s) for Defect),Custom field (Record Types),Custom field (Release Manager Actual),Custom field (Release Manager Estimate),Custom field (Release Status),Custom field (Request Type),Custom field (Request participants),Custom field (Resource Type),Custom field (Role),Satisfaction rating,Custom field (Satisfaction Rating),Custom field (Side Notes),Custom field (Side Notes),Custom field (SoW Reference),Custom field (Solution Notes),Custom field (Solution Notes),Custom field (Source/Event),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Sprint Dependencies),Custom field (Start date),Custom field (Story Owner),Custom field (Story Points),Custom field (Story point estimate),Custom field (Summary),Custom field (Target Resolution Date),Custom field (Total Actual),Custom field (Total Estimate),Custom field (Unblocked Date),Custom field (Updated Description),Custom field (Updated Summary),Custom field (Work Type),Custom field ([CHART] Date of First Response),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Pardot,CG-1,43042,Epic,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,,,scarlett.phillips,scarlett.phillips,12/Jun/17 1:52 PM,17/Aug/18 7:36 AM,24/Sep/19 12:12 PM,,,0,,,This epic will be used to manage the B2B Marketing related user stories,,scarlett.phillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,ghx-label-4,,Pardot,,,,,,,,Unapproved,,,,,,,,,,,,,,1|hzx46n:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Management,CG-2,43504,Epic,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,,,stephanie.stylianou,stephanie.stylianou,19/Jun/17 4:11 PM,31/Jul/18 8:50 AM,24/Sep/19 12:21 PM,,,0,,,"This epic will include user management components such as:
* Sharing logic (OWD, Sharing settings, role hierarchies)
* System permissions (Profiles and permission sets)
* SSO and other user access requirements",,stephanie.stylianou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG-419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verify Profile and Permission sets created as per details provided in Confluence Link,,,,,,,,,,,,,,,,,,{},,ghx-label-9,,User Management,To Do,,,,,,,Unapproved,,,,,,,,,,,,,,1|hzx56f:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCV,CG-3,43506,Epic,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,,,stephanie.stylianou,stephanie.stylianou,19/Jun/17 4:24 PM,19/Nov/18 11:36 AM,24/Sep/19 12:21 PM,,,0,,,"This epic will be used to manage the Single Customer View User stories:
* Lead conversion process
* Delivery Points
* Assets
* Credit scores
* Integration points",,stephanie.stylianou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG-751,CG-750,CG-575,CG-576,CG-573,CG-574,CG-577,CG-578,CG-579,CG-580,CG-581,CG-914,CG-916,CG-915,CG-913,CG-767,CG-765,CG-766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This epic will be used to manage the Single Customer View User stories:
* Lead conversion process
* Delivery Points
* Assets
* Credit scores
* Integration points",,,,,,,,,,,,,,,,,,{},,ghx-label-2,,SCV,To Do,,,,,,,Unapproved,,,,,,,,,,,,,,1|hzx587:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quote-to-Cash,CG-4,43507,Epic,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,,,stephanie.stylianou,stephanie.stylianou,19/Jun/17 4:27 PM,05/Sep/18 9:00 AM,24/Sep/19 12:21 PM,,,0,,,"This epic will be used to manage the full Quote-to-Cash process user stories:
* Opportunity
*  Quote
* Product
* Pricing
* Contracted Prices
* Contracts (incl. docusign)
* Order
* Sales Console
* Integration Points
* Einstein",,stephanie.stylianou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,ghx-label-6,,Quote-To-Cash,To Do,,,,,,,Unapproved,,,,,,,,,,,,,,1|hzx58f:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound Service Channels,CG-5,43508,Epic,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,,,stephanie.stylianou,stephanie.stylianou,19/Jun/17 4:31 PM,15/Nov/17 12:28 PM,24/Sep/19 12:21 PM,,,0,,,"This epic will be used to manage the Inbound Service Channels' user stories:
* CTI
* Live Agent
* Email to Case
* Web to Case
* Social Customer Service",,stephanie.stylianou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,ghx-label-8,,Inbound Service Channels,To Do,,,,,,,Unapproved,,,,,,,,,,,,,,1|hzx56n:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case Mgmt,CG-6,43509,Epic,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,,,stephanie.stylianou,stephanie.stylianou,19/Jun/17 4:35 PM,29/Jun/18 2:51 PM,24/Sep/19 12:21 PM,,,0,,,"This epic will be used to manage the Case Management user stories:
* Knowledge
* Escalations
* Omni-Channel
* Auto-response
* Assignment rules
* Email Services
* Console
* Integration Points
* Einstein
",,stephanie.stylianou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,ghx-label-11,,Case Mgmt,To Do,,,,,,,Unapproved,,,,,,,,,,,,,,1|hzx46v:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communities,CG-7,43510,Epic,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,,,stephanie.stylianou,stephanie.stylianou,19/Jun/17 4:38 PM,15/Nov/17 1:19 PM,24/Sep/19 12:21 PM,,,0,,,"This epic will be used to manage the Communities user stories:
* Custom Template
* Partner Communities
* Customer Communities
* Meter reading component
* Integration Points
* Einstein",,stephanie.stylianou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,ghx-label-3,,Communities,To Do,,,,,,,Unapproved,,,,,,,,,,,,,,1|hzx573:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offline Mobile,CG-8,43512,Epic,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,,,stephanie.stylianou,stephanie.stylianou,19/Jun/17 4:40 PM,19/Nov/18 11:51 AM,24/Sep/19 12:21 PM,,,0,,,"This epic will be used to manage the Mobile User stories:
* MDM (Mobile Domain Management)
* Offline mobile app requirements
",,stephanie.stylianou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,ghx-label-12,,Offline Mobile,To Do,,,,,,,Unapproved,,,,,,,,,,,,,,1|hzx57j:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSL,CG-9,43513,Epic,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,,,stephanie.stylianou,stephanie.stylianou,19/Jun/17 4:48 PM,29/Jun/18 2:56 PM,24/Sep/19 12:21 PM,,,0,,,"This epic will be used to manage the Field Service user stories:
* Scheduling
* Resource Management
* Field Service App
* Work Orders
* Integration
* Einstein
",,stephanie.stylianou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,ghx-label-14,,FSL,To Do,,,,,,,Unapproved,,,,,,,,,,,,,,1|hzx57b:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e-Commerce,CG-10,43514,Epic,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,,,stephanie.stylianou,stephanie.stylianou,19/Jun/17 4:51 PM,22/Feb/18 1:56 PM,24/Sep/19 12:21 PM,,,0,,,"This epic will be used to manage the e-Commerce user stories:
* POS
* One-shop",,stephanie.stylianou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,ghx-label-4,,e-Commerce,To Do,,,,,,,Unapproved,,,,,,,,,,,,,,1|hzx56v:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
