Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Components,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (1. Old Solution Notes),Custom field (Acceptance Criteria),Custom field (Additional Information),Custom field (Additional Information 2),Custom field (Additional Information 3),Custom field (Assumptions),Custom field (Assumptions),Custom field (Assumptions),Custom field (Blocked 'Other'),Custom field (Blocked Date),Custom field (Blocked Reason),Custom field (Blockers),Custom field (Business Capability),Custom field (Business Owner),Custom field (Business Value),Custom field (Calor Approved By),Custom field (Calor P2 Approved),Custom field (Category),Custom field (Complexity),Custom field (Development),Custom field (Discovered in build version:),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (External Idenitifier),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (FRD Ref),Custom field (Fixed in Build Version),Custom field (Flagged),Custom field (Issue color),Custom field (MP Comments),Custom field (MoSCoW),Custom field (OOTB?),Custom field (Original Scope?),Custom field (Pre-Sales Notes),Custom field (Process),Custom field (Product),Custom field (Project Manager Actual),Custom field (Project Manager Estimate),Custom field (QA Actual),Custom field (QA Estimate),Custom field (Rank),Custom field (Record Types),Custom field (Release Manager Actual),Custom field (Release Manager Estimate),Custom field (Release Status),Custom field (Request Type),Custom field (Request participants),Custom field (Resource Type),Custom field (Role),Satisfaction rating,Custom field (Satisfaction Rating),Custom field (Side Notes),Custom field (Side Notes),Custom field (SoW Reference),Custom field (Solution Notes),Custom field (Solution Notes),Custom field (Source/Event),Sprint,Sprint,Custom field (Sprint Dependencies),Custom field (Start date),Custom field (Story Owner),Custom field (Story Points),Custom field (Story point estimate),Custom field (Summary),Custom field (Target Resolution Date),Custom field (Total Actual),Custom field (Total Estimate),Custom field (Unblocked Date),Custom field (Updated Description),Custom field (Updated Summary),Custom field (Work Type),Custom field ([CHART] Date of First Response),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Create a domestic account and ensure Bio LPG is selected on quote line,CG-3311,63581,Test,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Low,,,Peter.Donohoe,Peter.Donohoe,21/Jan/19 10:47 AM,21/Jan/19 10:47 AM,24/Sep/19 1:29 PM,,,,0,Spring_19_Mobile_Regression,,Create a domestic account and ensure Bio LPG is selected on quote line,,Peter.Donohoe,,,,,,,,,,,,,,,,,,,,,,,,,,Create a domestic account and ensure Bio LPG is selected on quote line,,,,,,,,,,,,,,,Unapproved ,,,{},,,,,,,,,,,,Unapproved,,,,,,,,,,,,,1|i003wn:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/Jan/19 10:47 AM;Peter.Donohoe;42280995,,,,,,,
"Create a domestic account with multiple DP's, multiple signatories and multiple quote lines",CG-3312,63582,Test,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Low,,,Peter.Donohoe,Peter.Donohoe,21/Jan/19 10:47 AM,21/Jan/19 10:47 AM,24/Sep/19 1:29 PM,,,,0,Spring_19_Mobile_Regression,,"Create a domestic account with multiple DP's, multiple signatories and multiple quote lines",,Peter.Donohoe,,,,,,,,,,,,,,,,,,,,,,,,,,"Create a domestic account with multiple DP's, multiple signatories and multiple quote lines",,,,,,,,,,,,,,,Unapproved ,,,{},,,,,,,,,,,,Unapproved,,,,,,,,,,,,,1|i003wv:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/Jan/19 10:47 AM;Peter.Donohoe;42281023,,,,,,,
Create a commercial account with CRA,CG-3313,63583,Test,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Low,,,Peter.Donohoe,Peter.Donohoe,21/Jan/19 10:47 AM,21/Jan/19 10:47 AM,24/Sep/19 1:29 PM,,,,0,Spring_19_Mobile_Regression,,Create a commercial account with CRA,,Peter.Donohoe,,,,,,,,,,,,,,,,,,,,,,,,,,Create a commercial account with CRA,,,,,,,,,,,,,,,Unapproved ,,,{},,,,,,,,,,,,Unapproved,,,,,,,,,,,,,1|i003x3:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/Jan/19 10:47 AM;Peter.Donohoe;42281285,,,,,,,
Create a commercial account and discount all products,CG-3314,63584,Test,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Low,,,Peter.Donohoe,Peter.Donohoe,21/Jan/19 10:47 AM,21/Jan/19 10:47 AM,24/Sep/19 1:29 PM,,,,0,Spring_19_Mobile_Regression,,Create a commercial account and discount all products,,Peter.Donohoe,,,,,,,,,,,,,,,,,,,,,,,,,,Create a commercial account and discount all products,,,,,,,,,,,,,,,Unapproved ,,,{},,,,,,,,,,,,Unapproved,,,,,,,,,,,,,1|i003xb:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/Jan/19 10:47 AM;Peter.Donohoe;42281306,,,,,,,
Create a commercial account and increase the prices of all line items,CG-3315,63585,Test,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Low,,,Peter.Donohoe,Peter.Donohoe,21/Jan/19 10:47 AM,21/Jan/19 10:47 AM,24/Sep/19 1:29 PM,,,,0,Spring_19_Mobile_Regression,,Create a commercial account and increase the prices of all line items,,Peter.Donohoe,,,,,,,,,,,,,,,,,,,,,,,,,,Create a commercial account and increase the prices of all line items,,,,,,,,,,,,,,,Unapproved ,,,{},,,,,,,,,,,,Unapproved,,,,,,,,,,,,,1|i003xj:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/Jan/19 10:47 AM;Peter.Donohoe;42281349,,,,,,,
Create a commercial account and send contract by email,CG-3316,63586,Test,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Low,,,Peter.Donohoe,Peter.Donohoe,21/Jan/19 10:47 AM,21/Jan/19 10:47 AM,24/Sep/19 1:29 PM,,,,0,Spring_19_Mobile_Regression,,Create a commercial account and send contract by email,,Peter.Donohoe,,,,,,,,,,,,,,,,,,,,,,,,,,Create a commercial account and send contract by email,,,,,,,,,,,,,,,Unapproved ,,,{},,,,,,,,,,,,Unapproved,,,,,,,,,,,,,1|i003xr:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/Jan/19 10:47 AM;Peter.Donohoe;42281373,,,,,,,
Create a commercial account with 47kg product,CG-3317,63587,Test,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Low,,,Peter.Donohoe,Peter.Donohoe,21/Jan/19 10:47 AM,21/Jan/19 10:47 AM,24/Sep/19 1:29 PM,,,,0,Spring_19_Mobile_Regression,,Create a commercial account with 47kg product,,Peter.Donohoe,,,,,,,,,,,,,,,,,,,,,,,,,,Create a commercial account with 47kg product,,,,,,,,,,,,,,,Unapproved ,,,{},,,,,,,,,,,,Unapproved,,,,,,,,,,,,,1|i003xz:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/Jan/19 10:47 AM;Peter.Donohoe;42281390,,,,,,,
Create a commercial account and have contract sent by post,CG-3318,63588,Test,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Low,,,Peter.Donohoe,Peter.Donohoe,21/Jan/19 10:47 AM,21/Jan/19 10:47 AM,24/Sep/19 1:29 PM,,,,0,Spring_19_Mobile_Regression,,Create a commercial account and have contract sent by post,,Peter.Donohoe,,,,,,,,,,,,,,,,,,,,,,,,,,Create a commercial account and have contract sent by post,,,,,,,,,,,,,,,Unapproved ,,,{},,,,,,,,,,,,Unapproved,,,,,,,,,,,,,1|i003y7:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/Jan/19 10:47 AM;Peter.Donohoe;42281437,,,,,,,
Create a commercial account and add telemetry to quote line,CG-3319,63589,Test,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Low,,,Peter.Donohoe,Peter.Donohoe,21/Jan/19 10:47 AM,21/Jan/19 10:47 AM,24/Sep/19 1:29 PM,,,,0,Spring_19_Mobile_Regression,,Create a commercial account and add telemetry to quote line,,Peter.Donohoe,,,,,,,,,,,,,,,,,,,,,,,,,,Create a commercial account and add telemetry to quote line,,,,,,,,,,,,,,,Unapproved ,,,{},,,,,,,,,,,,Unapproved,,,,,,,,,,,,,1|i003yf:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/Jan/19 10:47 AM;Peter.Donohoe;42281453,,,,,,,
Create a commercial account and have contract sign now,CG-3320,63590,Test,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Low,,,Peter.Donohoe,Peter.Donohoe,21/Jan/19 10:47 AM,21/Jan/19 10:47 AM,24/Sep/19 1:29 PM,,,,0,Spring_19_Mobile_Regression,,Create a commercial account and have contract sign now,,Peter.Donohoe,,,,,,,,,,,,,,,,,,,,,,,,,,Create a commercial account and have contract sign now,,,,,,,,,,,,,,,Unapproved ,,,{},,,,,,,,,,,,Unapproved,,,,,,,,,,,,,1|i003yn:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/Jan/19 10:47 AM;Peter.Donohoe;42281517,,,,,,,
Create a commercial account and make any quote line item free (some will allow this some will not),CG-3321,63591,Test,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Low,,,Peter.Donohoe,Peter.Donohoe,21/Jan/19 10:47 AM,21/Jan/19 10:47 AM,24/Sep/19 1:29 PM,,,,0,Spring_19_Mobile_Regression,,Create a commercial account and make any quote line item free (some will allow this some will not),,Peter.Donohoe,,,,,,,,,,,,,,,,,,,,,,,,,,Create a commercial account and make any quote line item free (some will allow this some will not),,,,,,,,,,,,,,,Unapproved ,,,{},,,,,,,,,,,,Unapproved,,,,,,,,,,,,,1|i003yv:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/Jan/19 10:47 AM;Peter.Donohoe;Fail CG-3224,,,,,,,
"Create a commercial account with multiple DP's, send quote lines to different DP's.",CG-3322,63592,Test,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Low,,,Peter.Donohoe,Peter.Donohoe,21/Jan/19 10:47 AM,21/Jan/19 10:47 AM,24/Sep/19 1:29 PM,,,,0,Spring_19_Mobile_Regression,,"Create a commercial account with multiple DP's, send quote lines to different DP's.",,Peter.Donohoe,,,,,,,,,,,,,,,,,,,,,,,,,,"Create a commercial account with multiple DP's, send quote lines to different DP's.",,,,,,,,,,,,,,,Unapproved ,,,{},,,,,,,,,,,,Unapproved,,,,,,,,,,,,,1|i003z3:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/Jan/19 10:47 AM;Peter.Donohoe;42281584,,,,,,,
Create a Pheasant account without CRA,CG-3323,63593,Test,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Low,,,Peter.Donohoe,Peter.Donohoe,21/Jan/19 10:47 AM,21/Jan/19 10:47 AM,24/Sep/19 1:29 PM,,,,0,Spring_19_Mobile_Regression,,Create a Pheasant account without CRA,,Peter.Donohoe,,,,,,,,,,,,,,,,,,,,,,,,,,Create a Pheasant account without CRA,,,,,,,,,,,,,,,Unapproved ,,,{},,,,,,,,,,,,Unapproved,,,,,,,,,,,,,1|i003zb:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/Jan/19 10:47 AM;Peter.Donohoe;42281648,,,,,,,
Create a domestic account and send contract by email,CG-3324,63594,Test,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Low,,,Peter.Donohoe,Peter.Donohoe,21/Jan/19 10:47 AM,21/Jan/19 10:47 AM,24/Sep/19 1:29 PM,,,,0,Spring_19_Mobile_Regression,,Create a domestic account and send contract by email,,Peter.Donohoe,,,,,,,,,,,,,,,,,,,,,,,,,,Create a domestic account and send contract by email,,,,,,,,,,,,,,,Unapproved ,,,{},,,,,,,,,,,,Unapproved,,,,,,,,,,,,,1|i003zj:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/Jan/19 10:47 AM;Peter.Donohoe;42281699,,,,,,,
"Create a domestic account with multiple DP's, send quote lines to different DP's.",CG-3325,63595,Test,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Low,,,Peter.Donohoe,Peter.Donohoe,21/Jan/19 10:47 AM,21/Jan/19 10:47 AM,24/Sep/19 1:29 PM,,,,0,Spring_19_Mobile_Regression,,"Create a domestic account with multiple DP's, send quote lines to different DP's.",,Peter.Donohoe,,,,,,,,,,,,,,,,,,,,,,,,,,"Create a domestic account with multiple DP's, send quote lines to different DP's.",,,,,,,,,,,,,,,Unapproved ,,,{},,,,,,,,,,,,Unapproved,,,,,,,,,,,,,1|i003zr:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/Jan/19 10:47 AM;Peter.Donohoe;42281710,,,,,,,
Create a domesticaccount and have contract sent by post,CG-3326,63596,Test,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Low,,,Peter.Donohoe,Peter.Donohoe,21/Jan/19 10:48 AM,21/Jan/19 10:48 AM,24/Sep/19 1:29 PM,,,,0,Spring_19_Mobile_Regression,,Create a domesticaccount and have contract sent by post,,Peter.Donohoe,,,,,,,,,,,,,,,,,,,,,,,,,,Create a domesticaccount and have contract sent by post,,,,,,,,,,,,,,,Unapproved ,,,{},,,,,,,,,,,,Unapproved,,,,,,,,,,,,,1|i003zz:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/Jan/19 10:48 AM;Peter.Donohoe;42281761,,,,,,,
Create a domestic account and add telemetry to quote line,CG-3327,63597,Test,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Low,,,Peter.Donohoe,Peter.Donohoe,21/Jan/19 10:48 AM,21/Jan/19 10:48 AM,24/Sep/19 1:29 PM,,,,0,Spring_19_Mobile_Regression,,Create a domestic account and add telemetry to quote line,,Peter.Donohoe,,,,,,,,,,,,,,,,,,,,,,,,,,Create a domestic account and add telemetry to quote line,,,,,,,,,,,,,,,Unapproved ,,,{},,,,,,,,,,,,Unapproved,,,,,,,,,,,,,1|i00407:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/Jan/19 10:48 AM;Peter.Donohoe;42281787,,,,,,,
Create a domestic account and have contract sign now,CG-3328,63598,Test,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Low,,,Peter.Donohoe,Peter.Donohoe,21/Jan/19 10:48 AM,21/Jan/19 10:48 AM,24/Sep/19 1:29 PM,,,,0,Spring_19_Mobile_Regression,,Create a domestic account and have contract sign now,,Peter.Donohoe,,,,,,,,,,,,,,,,,,,,,,,,,,Create a domestic account and have contract sign now,,,,,,,,,,,,,,,Unapproved ,,,{},,,,,,,,,,,,Unapproved,,,,,,,,,,,,,1|i0040f:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/Jan/19 10:48 AM;Peter.Donohoe;42281824,,,,,,,
Create a commercial account and make any quote line item free (some will allow this some will not),CG-3329,63599,Test,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Low,,,Peter.Donohoe,Peter.Donohoe,21/Jan/19 10:48 AM,21/Jan/19 10:48 AM,24/Sep/19 1:29 PM,,,,0,Spring_19_Mobile_Regression,,Create a commercial account and make any quote line item free (some will allow this some will not),,Peter.Donohoe,,,,,,,,,,,,,,,,,,,,,,,,,,Create a commercial account and make any quote line item free (some will allow this some will not),,,,,,,,,,,,,,,Unapproved ,,,{},,,,,,,,,,,,Unapproved,,,,,,,,,,,,,1|i0040n:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/Jan/19 10:48 AM;Peter.Donohoe;Fail CG-3224,,,,,,,
Create a commercial account with 47kg product,CG-3330,63600,Test,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Low,,,Peter.Donohoe,Peter.Donohoe,21/Jan/19 10:48 AM,21/Jan/19 10:48 AM,24/Sep/19 1:29 PM,,,,0,Spring_19_Mobile_Regression,,Create a commercial account with 47kg product,,Peter.Donohoe,,,,,,,,,,,,,,,,,,,,,,,,,,Create a commercial account with 47kg product,,,,,,,,,,,,,,,Unapproved ,,,{},,,,,,,,,,,,Unapproved,,,,,,,,,,,,,1|i0040v:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/Jan/19 10:48 AM;Peter.Donohoe;42281859,,,,,,,
